job_title,company_name,time_posted,num_applicants,job_description
Analista de Datos Junior,Solventa Lending,2 weeks ago,,"Estamos en la búsqueda de un Data Analyst Jr. (Analista Junior)
Profesional graduado en admón, economía, ingeniería, estadística o afines con experiencia en análisis de datos, inteligencia de negocios y manejo de datos, modelos relacionales y predictivos, con excelentes habilidades de comunicación y capacidad para presentar resultados de manera clara y efectiva.
Tus Principales Funciones
Identificar temas, áreas o procesos con problemas o posibilidades de mejora.
Generar, promover e implementar Iniciativas Estratégicas
Colaborar en la automatización de procesos y reportes.
Tener la capacidad plantear hipótesis, buscar solución e implementarla
Conocimientos Obligatorios En
Excel/SQL.
Power BI.
Condiciones / Beneficios
Salario a convenir
Contrato a término indefinido
Horario Lunes a viernes de 8:00 am - 5:00 pm
Ambiente de trabajo dinámico y colaborativo
Oportunidad de crecimiento y desarrollo profesional
¡¡Esta es una gran oportunidad para que sigas construyendo tu perfil en Data!!
En Solventa, no solo creamos oportunidades financieras, también cultivamos un ambiente de trabajo vibrante donde cada individuo se siente valorado y motivado a alcanzar su máximo potencial. ¡Únete a nosotros y sé parte de esta emocionante jornada hacia un futuro financiero más inclusivo y accesible para todos!"
Analista de Datos,Keyrus,5 days ago,,"Sabemos que los grandes resultados sólo se consiguen con un gran equipo, por eso buscamos personas con talento y pasión, con ganas de crecer profesionalmente, y crear una trayectoria profesional con nosotros.
Estamos en la búsqueda de un Analista de Datos para un emocionante proyecto de analítica de datos. Este profesional desempeñará un papel clave en la recolección, procesamiento y análisis de datos para brindar información valiosa y apoyar la toma de decisiones. El Analista de Datos trabajará en conjunto con el equipo para desarrollar soluciones de analítica de datos efectivas.
Rol & Responsabilidades
Recolectar y procesar datos de diversas fuentes.
Realizar análisis exploratorios de datos para identificar patrones y tendencias.
Apoyar en la construcción y mantenimiento de modelos de analítica de datos.
Colaborar en la generación de informes y visualizaciones de datos.
Contribuir a la identificación de oportunidades y desafíos basados en datos.
Participar en la implementación de soluciones analíticas.
Trabajar en equipo con científicos de datos y otros profesionales en proyectos de analítica de datos.
Cumplir con los plazos y los estándares de calidad establecidos.
Requisitos Esenciales
Título profesional en matemáticas, estadística, ingeniería de sistemas, ingeniería de computación, electrónica, industrial o comunicaciones.
Posgrado en matemáticas, estadística, analítica de datos, ciencia de datos, ciencias de la computación o gestión de información.
Mínimo de 3 años de experiencia profesional.
Experiencia específica de al menos un (1) año como científico de datos junior.
¡Únete a nosotros en Keyrus Colombia!
Si quieres saber más sobre nosotros, te invitamos a visitar nuestra página web: http://www.keyrus.com/co/
Keyrus cree en la diversidad y, por eso, sólo evalúa los aspectos técnicos y de comportamiento en sus candidatos. Animamos a todo el mundo a participar en nuestros procesos de contratación, independientemente de su sexo, edad, etnia, religión, forma de identificarse o condiciones que puedan tener. No permitimos ningún tipo de discriminación en nuestro equipo."
Data Analyst,Accenture Colombia,2 weeks ago,,"Accenture es una compañía global líder en servicios profesionales con una amplia gama de soluciones en estrategia y consultoría, tecnología, operaciones y capacidades digitales, brindando un servicio integral a nuestros clientes para que alcancen su máximo rendimiento.
En nuestro equipo de 
Tecnología
, trabajamos con nuestros clientes acompañándolos a afrontar los múltiples desafíos de la transformación digital. Ayudamos a aprovechar el poder de las tecnologías digitales para ser más efectivas, innovadoras y disruptivas.
Actualmente nos encontramos en la búsqueda de un
 Analista de datos experto en reportes 
para formar parte de nuestro equipo de 
Accenture Technology.
Job description:
Creación de reportes y dashboards principalmente en Power BI, realizar análisis básicos respecto a la información.
Job Qualifications:
Formación completa o en curso en Ingenería de Sistemas o carreras afines
Entre 2 y 3 años de experiencia en Data
Conocimientos en ITIL (ideal certificación)
Conocimientos en analítica de datos
Experiencia en automatización de la creación de reportes.
Modalidad Remoto
¡Enfocamos nuestra búsqueda en profesionales flexibles, proactivos, orientados a trabajar en equipo, con ganas de aprender y un espíritu innovador!
Accenture, estamos convencidos de que la diversidad es la fuente más importante de innovación y competitividad para las organizaciones y las economías que la promueven.
Todas las decisiones de Accenture se tomarán sin discriminar por motivos de raza, religión, color, sexo, edad, discapacidad, nacionalidad, orientación sexual, identidad o expresión de género, ni por ninguna otra razón cubierta por la legislación local."
Analista de Datos Junior,NOUS LATAM,1 month ago,,"Estamos en busca de un profesional motivado para formar parte de un nuevo proyecto en nuestro equipo. Tu principal función será colaborar con analistas más experimentados para recopilar, organizar y analizar datos, con el objetivo de obtener información valiosa que respalde la toma de decisiones estratégicas por parte del equipo de gerencia. En este rol, tendrás la oportunidad de utilizar herramientas y tecnologías de vanguardia para el análisis y visualización de datos y trabajar en un entorno dinámico y colaborativo, donde tu voz será escuchada y tus ideas valoradas.
Responsabilidades:
Ayudar en la recopilación y limpieza de datos de diversas fuentes
Asistir en la preparación de conjuntos de datos para análisis mediante la identificación y corrección de errores
Realizar análisis exploratorio de datos para descubrir patrones, tendencias y relaciones significativas
Apoyar en la creación de informes y visualizaciones para comunicar hallazgos a diferentes audiencias
Generar reportes automatizados que permitan analizar performance de los indicadores. 
Identificar tendencias, patrones y correlaciones dentro de los datos para respaldar los objetivos comerciales
Colaborar con otros miembros del equipo en proyectos de análisis de datos, proporcionando soporte y contribuyendo con ideas
Mantenerse al tanto de las últimas tendencias y herramientas en análisis de datos y participar en actividades de desarrollo profesional para mejorar habilidades
Requisitos:
Título universitario en estadística, matemáticas, informática, economía u otro campo relacionado
Inglés B2-C1 (Requerido). 
Portugués básico (Preferible, no excluyente)
Manejo intermedios / avanzados de herramientas de visualización, tales como Tableau, Power BI o DataStudio
Conocimiento básico de técnicas de análisis de datos y herramientas como Excel, SQL, Python o R
Fuertes habilidades analíticas y capacidad para interpretar datos de manera efectiva
Capacidad de adaptación para trabajar de manera colaborativa en un entorno de equipo
Powered by JazzHR
hRqtO0QqvQ"
Data Analyst (Jr),NielsenIQ,6 days ago,,"Company Description
Join GfK and help us shape tomorrow. As an NIQ company, we are the world's leading consumer intelligence firm, delivering the Full View™ on consumer behavior. We work to enable manufacturers and retailers better understand what consumers really want. Our name has inspired trust for over 89 years because we take pride in discovering new pathways to sustainable growth for our clients, our people, and our planet.
We are always looking for open-minded people who will grow with us, push boundaries, and pioneer disruptive methods in market research, data science, technology, and AI. If you share this passion to drive things forward and the integrity to insist on doing things the right way, we'll equip you to take your future into your own hands and play a leading role in our story.
Job Description
Next time you go shopping, think about this: What if brands asked for your opinion on their products before they put them on the shelf? Wouldn't that be nice? At 
Netquest
 we give voice to the consumers, enabling them to shape the products and services of tomorrow. How? We deliver consumers' genuine opinions and data to help companies create better products for you.
We're now looking for a 
Data Analyst
 to join our Data Team. In this role, you'll play a pivotal role in leveraging data and analytics to drive informed decision-making across the organization. The incumbent will work closely with various stakeholders to understand business needs, analyse complex datasets, and provide actionable insights to enhance operational efficiency and drive strategic initiatives.
Currently we are working on developing a solid data strategy inside 
Netquest
, so we are looking for a team builder, someone who enjoys working with others and interacting with different people and departments, understanding their needs, sharing the decisions with the team and explaining the data solutions to the stakeholders.
As a
 Data Analyst
 you will have the following key accountabilities:
Data Understanding and Analysis:
Gain a deep understanding of organizational data and key performance indicators (KPIs) to facilitate data-driven decision-making
Analyze large and complex datasets, identifying trends, patterns, and anomalies to extract meaningful insights
Utilize advanced data analytics tools such as SQL and Python for data manipulation and analysis
Business Information Needs:
Collaborate with management to prioritize and address business information needs through data analysis and reporting solutions
Reporting and Dashboard Development:
Develop and maintain user-friendly dashboards on BI tools like QlikSense, providing stakeholders with real-time access to actionable insights
Data Quality and Consistency:
Identify and address data inconsistencies, working closely with Data Engineers to ensure adherence to data quality policies
Collaboration and Communication:
Work collaboratively with other members of the Data team, including Data Scientists and Data Engineers, to streamline data processes and enhance data-driven decision-making
Effectively communicate insights and findings to internal and external stakeholders, fostering a culture of data-driven decision-making
Qualifications
Now that we've introduced you to the position as 
Data Analyst
 what skill, qualifications and experience should you have?
Proficiency in Python (pandas, numpy, matplotlib, ggplot, seaborn) and SQL
Familiarity with R (optional)
Excel skills (user level)
Experience with BI tools such as QlikSense, Power BI, or Tableau
Knowledge of cloud services, particularly AWS, is a plus
Familiarity with data management tools, with experience in dbt considered advantageous
Analytical thinking and problem-solving abilities
Strong storytelling skills to effectively communicate insights
English with good communication skills
Ability to work collaboratively in a team-oriented environment
Additional Information
Why 
Netquest
 is great for you? We offer the following benefits:
Prepaid Medicine paid 100% by the company (MedPlus)
Birthday Day Off
40 hours per week
Hybrid work - 2 days at office, 3 days at home
Unlimited Employee Asistance Program (EAP) 
Our Benefits
Flexible working environment
Volunteer time off
LinkedIn Learning
Employee-Assistance-Program (EAP)
About NIQ
NIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world’s population.
For more information, visit NIQ.com
Want to keep up with our latest updates?
Follow us on: LinkedIn | Instagram | Twitter | Facebook
Our commitment to Diversity, Equity, and Inclusion
NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion"
Analista de Datos,HCL Infosystems Ltd.,2 weeks ago,,"Importante empresa del sector salud se encuentra en búsqueda de Analista de datos, Estudiante universitario en últimos semestres o profesional en Ingeniería industrial o carreras afines con experiencia, en manejo de datos, estadísticas parte comercial, excel intermedio avanzado), indicadores de gestión, manejo powe BI manejo de bases de datos.
Salario Base $1.600.000 + prestaciones de ley + variable por cumplimiento de indicadores 400.000
HORARIO DE OFICINA
Esquema de vacunación COVID completo"
Analista BI (Python y SQL) - Bogotá DC,Colsubsidio,5 days ago,,"Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas. ¡Esta Oportunidad es para Ti! Estamos en búsqueda de 
ANALISTA BI. 
¿Qué harías?
Asegurar la generación metodológica de reportes e informes y la actualización sistemática de los tableros de indicadores, identificando insights de negocio para la toma de decisiones.
Lo que buscamos de ti
Profesional en Ciencias Básicas o Ciencias de la Administración o en Ciencias de la Ingeniería
2 años de experiencia en la administración y seguimiento de indicadores de gestión, desarrollo de informes, tableros y reportes con manejo de bases de datos, lenguajes de programación y herramientas de visualización de datos.
Con conocimiento en PYTHON Y SQL.
¿Cuáles serían tus condiciones?
Salario: $ 4.637.300 + pretaciones de ley + beneficios..
Contrato a Indefinido
Horario: 47 Horas semanales - Lunes a viernes (Sabados ocasionales)
¿Qué esperas para tomar este nuevo reto?, juntos generáremos oportunidades para el cierre de brechas sociales!"
Analista de Datos PowerBi,Staffing de Colombia,2 months ago,,"Oferta de empleo: Analista de Gestión Comercial
Estimado candidato/a,
En Staffing de Colombia, estamos en búsqueda de un Analista de Gestión powerbi para unirse a nuestro equipo. Como Analista de Gestión powerbi, serás responsable de apoyar las operaciones comerciales y mejorar la eficiencia de los procesos comerciales de nuestra empresa.
Responsabilidades
 Analizar y evaluar los procesos comerciales existentes para identificar áreas de mejora.
 Recopilar y analizar datos para evaluar el rendimiento de las estrategias y tácticas comerciales implementadas.
 Elaborar informes y presentaciones para comunicar los resultados y recomendar acciones correctivas.
 Coordinar y colaborar con otros departamentos internos para optimizar los procesos comerciales.
manejo base de datos powerbi
manejo de Excel avanzado
Requisitos
 Licenciatura en Administración, Ingeniería Comercial o carrera afín.
 Experiencia mínima de 2 años en análisis y gestión
 Habilidades avanzadas en el manejo de herramientas de análisis de datos y software de Microsoft Office.
 Capacidad para trabajar en equipo y colaborar con diferentes áreas de la empresa.
Ofrecemos
 Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.
 Salario 2.700.000 + prestaciones de ley
horarios de lunes a viernes de 7:30 am a 4:30 pm y sábados medio día.
Lugar de trabajo Cajicá modalidad hibrido.
Si te consideras una persona proactiva, con habilidades analíticas y orientada a resultados, ¡queremos conocerte! Envía tu hoja de vida y carta de presentación destacando tu experiencia en análisis y gestión comercial. Nos pondremos en contacto contigo para agendar una entrevista.
¡Esperamos contar con tu talento en nuestro equipo!
Atentamente,
Staffing de Colombia"
Analista Business Intelligence (BI),Falabella,6 days ago,,"🚀¡
En Falabella. com
 buscamos a nuestro/a próximo/a 
Analista Business Intelligence (BI)
, para sumarse a nuestro gran equipo, con base en Colombia!
🎯
¿Cuál es el principal objetivo del cargo?
Crear reportes que sirvan para la toma de decisiones dentro de la gerencia y empresa.
✔¿Qué harás en el día a día?
Analizar datos para buscar puntos de mejora en la cadena logística.
Entregar visibilidad mediante data y dashboards a las distintas áreas de la cadena logística.
Creación de modelos en base a la historia para entender comportamientos.
🔎¿Qué necesitas para postular?
Estudios en Ingeniería, Tecnología, Administración o afines.
Experiencia de práctica laboral-profesional o hasta 2 años en cargos afines (inteligencia de negocios, business intelligence (BI), análisis de datos, data analytics y/o similares).
Conocimientos en lenguaje de programación: Python, SQL, GCP (deseable).
Conocimientos en desarrollo de dashboards: Power BI, Tableau y/o Looker Studio.
✨Somos más de 90 mil personas que, día a día, dedicamos nuestra pasión y energía a cumplir nuestro Propósito de “Simplificar y Disfrutar más la Vida”. Propósito que hoy vive a través ecosistema físico y digital en todas nuestras marcas y países (Chile, Perú, Colombia, India, México, China, Argentina y Uruguay).
🚀¡Súmate a vivir la #ExperienciaFalabella y así potenciar JUNTOS nuestra transformación!"
Analista de Datos / Manejo de estadísticas,MEGALINEA S.A.,3 weeks ago,,"Importante empresa prestadora de servicios se encuentra en búsqueda de Analista de datos, Estudiante universitario en últimos semestres o profesional en administración de empresas, economía y carreras afines con experiencia, en manejo de datos, estadísticas parte comercial, excel intermedio avanzado (se realiza prueba), manejo progamación y low code, manejo de bases de datos.
Horario: Manejo y confianza (horario de oficina)
Contrato: Indefinido
Salario: $2.600.000 + prestaciones de ley"
