id_oferta,job_title,company_name,time_posted,num_applicants,job_description
3955242776,Analista de Datos Junior,Softgic,1 week ago,,"Analizar grandes conjuntos de datos para identificar tendencias y patrones.Conocimiento profundo de herramientas y técnicas de análisis, así como comprensión de estadísticas y modelado de datos, para proponer mejoras en estrategias para células de crédito y billeteras digitales, así como otros productos digitales dentro del flujo de valor.Recopilar y limpiar grandes conjuntos de datos para asegurar su precisión y análisis.Utilizar herramientas y técnicas estadísticas para identificar patrones y tendencias en los datos.Presentar los resultados del análisis de manera clara y concisa a la empresa para permitir mejores decisiones comerciales.Crear gráficos de datos atractivos y comprensibles para presentar los resultados del análisis.Comunicar los resultados del análisis a los gerentes y otros miembros del equipo.Ser competente en las habilidades técnicas y sociales necesarias para el éxito en el puesto.Conciliar las cuentas contables a cargo, para asegurar que el movimiento aplicado en las diferentes cuentas sea correcto.Identificar y gestionar el ajuste de inconsistencias presentadas en el proceso de conciliación, con el objetivo de depurar ítems.Aplicar la contabilidad de los valores resultantes de compensaciones con diferentes redes.Controlar los gastos del proyecto.Verificar y apoyar operaciones. Analizar grandes conjuntos de datos para identificar tendencias y patrones. Conocimiento profundo de herramientas y técnicas de análisis, así como comprensión de estadísticas y modelado de datos, para proponer mejoras en estrategias para células de crédito y billeteras digitales, así como otros productos digitales dentro del flujo de valor. Recopilar y limpiar grandes conjuntos de datos para asegurar su precisión y análisis. Utilizar herramientas y técnicas estadísticas para identificar patrones y tendencias en los datos. Presentar los resultados del análisis de manera clara y concisa a la empresa para permitir mejores decisiones comerciales. Crear gráficos de datos atractivos y comprensibles para presentar los resultados del análisis. Comunicar los resultados del análisis a los gerentes y otros miembros del equipo. Ser competente en las habilidades técnicas y sociales necesarias para el éxito en el puesto. Conciliar las cuentas contables a cargo, para asegurar que el movimiento aplicado en las diferentes cuentas sea correcto. Identificar y gestionar el ajuste de inconsistencias presentadas en el proceso de conciliación, con el objetivo de depurar ítems. Aplicar la contabilidad de los valores resultantes de compensaciones con diferentes redes. Controlar los gastos del proyecto. Verificar y apoyar operaciones. 

Requirements 

Experiencia en la gestión de SQL, Python o R, así como en procesos de Extracción, Transformación y Carga (ETL).Habilidades en la realización de conciliaciones bancarias y aseguramiento de la exactitud de los datos financieros.Experiencia trabajando con un sistema ERP.Competencia en el manejo de Excel para bases de datos, macros y funciones condicionales.Familiaridad con herramientas de oficina.Capacidad para brindar soporte a clientes internos y externos. Experiencia en la gestión de SQL, Python o R, así como en procesos de Extracción, Transformación y Carga (ETL). Habilidades en la realización de conciliaciones bancarias y aseguramiento de la exactitud de los datos financieros. Experiencia trabajando con un sistema ERP. Competencia en el manejo de Excel para bases de datos, macros y funciones condicionales. Familiaridad con herramientas de oficina. Capacidad para brindar soporte a clientes internos y externos. 

Benefits 

Reconocimiento como un Gran Lugar para Trabajar.Oportunidades de crecimiento profesional y escalamiento.Días libres.Apoyo para educación formal y certificaciones.Beneficios con empresas asociadas.Plan de referidos.Horarios flexibles. Reconocimiento como un Gran Lugar para Trabajar. Oportunidades de crecimiento profesional y escalamiento. Días libres. Apoyo para educación formal y certificaciones. Beneficios con empresas asociadas. Plan de referidos. Horarios flexibles."
3903380739,Analista de Datos Junior,NOUS LATAM,2 months ago,,"Ayudar en la recopilación y limpieza de datos de diversas fuentesAsistir en la preparación de conjuntos de datos para análisis mediante la identificación y corrección de erroresRealizar análisis exploratorio de datos para descubrir patrones, tendencias y relaciones significativasApoyar en la creación de informes y visualizaciones para comunicar hallazgos a diferentes audienciasGenerar reportes automatizados que permitan analizar performance de los indicadores.Identificar tendencias, patrones y correlaciones dentro de los datos para respaldar los objetivos comercialesColaborar con otros miembros del equipo en proyectos de análisis de datos, proporcionando soporte y contribuyendo con ideasMantenerse al tanto de las últimas tendencias y herramientas en análisis de datos y participar en actividades de desarrollo profesional para mejorar habilidades Ayudar en la recopilación y limpieza de datos de diversas fuentes Asistir en la preparación de conjuntos de datos para análisis mediante la identificación y corrección de errores Realizar análisis exploratorio de datos para descubrir patrones, tendencias y relaciones significativas Apoyar en la creación de informes y visualizaciones para comunicar hallazgos a diferentes audiencias Generar reportes automatizados que permitan analizar performance de los indicadores. Identificar tendencias, patrones y correlaciones dentro de los datos para respaldar los objetivos comerciales Colaborar con otros miembros del equipo en proyectos de análisis de datos, proporcionando soporte y contribuyendo con ideas Mantenerse al tanto de las últimas tendencias y herramientas en análisis de datos y participar en actividades de desarrollo profesional para mejorar habilidades 



Título universitario en estadística, matemáticas, informática, economía u otro campo relacionadoInglés B2-C1 (Requerido).Portugués básico (Preferible, no excluyente)Manejo intermedios / avanzados de herramientas de visualización, tales como Tableau, Power BI o DataStudioConocimiento básico de técnicas de análisis de datos y herramientas como Excel, SQL, Python o RFuertes habilidades analíticas y capacidad para interpretar datos de manera efectivaCapacidad de adaptación para trabajar de manera colaborativa en un entorno de equipo Título universitario en estadística, matemáticas, informática, economía u otro campo relacionado Inglés B2-C1 (Requerido). Portugués básico (Preferible, no excluyente) Manejo intermedios / avanzados de herramientas de visualización, tales como Tableau, Power BI o DataStudio Conocimiento básico de técnicas de análisis de datos y herramientas como Excel, SQL, Python o R Fuertes habilidades analíticas y capacidad para interpretar datos de manera efectiva Capacidad de adaptación para trabajar de manera colaborativa en un entorno de equipo"
3953819780,Analista Bi (python Y Sql) - Bogotá Dc,Colsubsidio,2 weeks ago,,"ANALISTA BI. 

¿Qué harías? 



Lo que buscamos de ti 







¿Cuáles serían tus condiciones? 







¿Qué esperas para tomar este nuevo reto?, juntos generáremos oportunidades para el cierre de brechas sociales!"
3927574665,Analista de Datos,HCL Infosystems Ltd.,1 month ago,,
3857819544,Analista de Datos PowerBi,Staffing de Colombia,3 months ago,,"Responsabilidades 

Analizar y evaluar los procesos comerciales existentes para identificar áreas de mejora.Recopilar y analizar datos para evaluar el rendimiento de las estrategias y tácticas comerciales implementadas.Elaborar informes y presentaciones para comunicar los resultados y recomendar acciones correctivas.Coordinar y colaborar con otros departamentos internos para optimizar los procesos comerciales.manejo base de datos powerbimanejo de Excel avanzado Analizar y evaluar los procesos comerciales existentes para identificar áreas de mejora. Recopilar y analizar datos para evaluar el rendimiento de las estrategias y tácticas comerciales implementadas. Elaborar informes y presentaciones para comunicar los resultados y recomendar acciones correctivas. Coordinar y colaborar con otros departamentos internos para optimizar los procesos comerciales. manejo base de datos powerbi manejo de Excel avanzado 

Requisitos 

Licenciatura en Administración, Ingeniería Comercial o carrera afín.Experiencia mínima de 2 años en análisis y gestiónHabilidades avanzadas en el manejo de herramientas de análisis de datos y software de Microsoft Office.Capacidad para trabajar en equipo y colaborar con diferentes áreas de la empresa. Licenciatura en Administración, Ingeniería Comercial o carrera afín. Experiencia mínima de 2 años en análisis y gestión Habilidades avanzadas en el manejo de herramientas de análisis de datos y software de Microsoft Office. Capacidad para trabajar en equipo y colaborar con diferentes áreas de la empresa. 

Ofrecemos 

Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.Salario 2.700.000 + prestaciones de leyhorarios de lunes a viernes de 7:30 am a 4:30 pm y sábados medio día.Lugar de trabajo Cajicá modalidad hibrido. Oportunidades de desarrollo profesional y crecimiento dentro de la empresa. Salario 2.700.000 + prestaciones de ley horarios de lunes a viernes de 7:30 am a 4:30 pm y sábados medio día. Lugar de trabajo Cajicá modalidad hibrido."
3924501103,Analista Business Intelligence (BI),Falabella,3 weeks ago,,"En Falabella. com Analista Business Intelligence (BI) 
¿Cuál es el principal objetivo del cargo? Crear reportes que sirvan para la toma de decisiones dentro de la gerencia y empresa. Crear reportes que sirvan para la toma de decisiones dentro de la gerencia y empresa. 
✔¿Qué harás en el día a día? Analizar datos para buscar puntos de mejora en la cadena logística.Entregar visibilidad mediante data y dashboards a las distintas áreas de la cadena logística.Creación de modelos en base a la historia para entender comportamientos. Analizar datos para buscar puntos de mejora en la cadena logística. Entregar visibilidad mediante data y dashboards a las distintas áreas de la cadena logística. Creación de modelos en base a la historia para entender comportamientos. 
🔎¿Qué necesitas para postular? Estudios en Ingeniería, Tecnología, Administración o afines.Experiencia de práctica laboral-profesional o hasta 2 años en cargos afines (inteligencia de negocios, business intelligence (BI), análisis de datos, data analytics y/o similares).Conocimientos en lenguaje de programación: Python, SQL, GCP (deseable).Conocimientos en desarrollo de dashboards: Power BI, Tableau y/o Looker Studio. Estudios en Ingeniería, Tecnología, Administración o afines. Experiencia de práctica laboral-profesional o hasta 2 años en cargos afines (inteligencia de negocios, business intelligence (BI), análisis de datos, data analytics y/o similares). Conocimientos en lenguaje de programación: Python, SQL, GCP (deseable). Conocimientos en desarrollo de dashboards: Power BI, Tableau y/o Looker Studio."
3948019324,Analista de datos,MEGALINEA S.A.,3 weeks ago,,Condiciones
3948015852,Analista de datos para entidad financiera,Messina Market & Catering,3 weeks ago,47 applicants,Requisitos
3944805691,Data Analyst,TMF Group,3 weeks ago,,"We never ask for payment as part of our selection process, and we always contact candidates via our corporate accounts and platforms. If you are approached for payment, this is likely to be fraudulent. Please check to see whether the role you are interested in is posted here, on our website. 
Role profile  Purpose of the role 
Key Functions and Responsibilities Understanding Business processes and existing ecosystemUnderstand Business KPIs, metrics and their calculationsAnalyze, understand, and model data being used in the processPerform Descriptive and Diagnostic analysis on datasetsIdentify key insights, relations from data in the context of the Business scenarioShare analysis with Business usersWork collaboratively with Business users and others in team to deliver insights in an agile mannerOwnership of data quality and identification of potential enhancementsEnsure process compliance Understanding Business processes and existing ecosystem Understand Business KPIs, metrics and their calculations Analyze, understand, and model data being used in the process Perform Descriptive and Diagnostic analysis on datasets Identify key insights, relations from data in the context of the Business scenario Share analysis with Business users Work collaboratively with Business users and others in team to deliver insights in an agile manner Ownership of data quality and identification of potential enhancements Ensure process compliance Competencies and Skills 
 Experience and Qualifications 
Have a passion for data analysis and drawing insights from dataHas a strong problem solving and analytical mindsetAbility to interpret & ask questions to understand business requirements, to ensure successful business outcomesMotivation to understand business processes and data platforms to design/deliver scalable data solutions to support customer needsGood understanding of database principles and SQL, to perform complex analysisEnsure the consistency and quality of data solutions completed by the engineering teamAbility to learn new software and technologies quickly & intuitivelyAbility to follow instructions and work in a team environment, adapting to situation & needAbility to operate using Agile Methodology and DevOps tools, to coordinate, deliver & track workCan work independently under limited supervision & apply subject knowledge in Data AnalysisSelf-motivated and able to proactively learn good practice through research, peer Q&A & experimentsAppreciation of business case fundamentals an advantage, to contribute throughout solution lifecycleExcellent verbal and written communication skills with the ability to effectively advocate solutions to engineering teams and business stakeholdersStrong interpersonal skills and ability to work in a collaborative environmentAble to support conclusions with analytical evidence using descriptive stats and inferential stats Have a passion for data analysis and drawing insights from data Has a strong problem solving and analytical mindset Ability to interpret & ask questions to understand business requirements, to ensure successful business outcomes Motivation to understand business processes and data platforms to design/deliver scalable data solutions to support customer needs Good understanding of database principles and SQL, to perform complex analysis Ensure the consistency and quality of data solutions completed by the engineering team Ability to learn new software and technologies quickly & intuitively Ability to follow instructions and work in a team environment, adapting to situation & need Ability to operate using Agile Methodology and DevOps tools, to coordinate, deliver & track work Can work independently under limited supervision & apply subject knowledge in Data Analysis Self-motivated and able to proactively learn good practice through research, peer Q&A & experiments Appreciation of business case fundamentals an advantage, to contribute throughout solution lifecycle Excellent verbal and written communication skills with the ability to effectively advocate solutions to engineering teams and business stakeholders Strong interpersonal skills and ability to work in a collaborative environment Able to support conclusions with analytical evidence using descriptive stats and inferential stats"
3835410847,Analista de datos,MEGALINEA S.A.,4 months ago,,Condiciones
